+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 337   | 0   | 124  | 0   | 213 | 0   | GET    | /api/isu                                            | 0.196 | 2.988 | 235.336 | 0.698 | 1.000 | 1.004 | 1.004 | 0.424  | 0.000      | 10000.000  | 314036.000   | 931.858    |
| 50    | 0   | 10   | 0   | 40  | 0   | GET    | /api/trend                                          | 0.020 | 1.004 | 42.480  | 0.850 | 1.000 | 1.004 | 1.004 | 0.322  | 0.000      | 6101.000   | 47578.000    | 951.560    |
| 1363  | 0   | 1273 | 0   | 90  | 0   | POST   | /api/condition/678cff7a-336a-4ab2-8cda-c1cf1a78d73a | 0.004 | 0.212 | 15.128  | 0.011 | 0.032 | 0.100 | 0.104 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1379  | 0   | 1282 | 0   | 97  | 0   | POST   | /api/condition/415246b2-89bd-44b5-baf1-8a7f0d93ef55 | 0.008 | 0.232 | 14.264  | 0.010 | 0.032 | 0.100 | 0.104 | 0.028  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1349  | 0   | 1249 | 0   | 100 | 0   | POST   | /api/condition/12696914-d08a-4cc8-a8f3-91bc75cbac53 | 0.000 | 0.144 | 13.832  | 0.010 | 0.040 | 0.100 | 0.100 | 0.028  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1390  | 0   | 1304 | 0   | 86  | 0   | POST   | /api/condition/9226c71c-2272-4038-8fc7-8443682a2b5f | 0.000 | 0.232 | 13.676  | 0.010 | 0.016 | 0.100 | 0.104 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 30    | 0   | 29   | 0   | 1   | 0   | GET    | /api/condition/ebec5f4c-2ae7-4afa-9c93-203dbfb03e02 | 0.036 | 1.000 | 13.624  | 0.454 | 0.772 | 0.900 | 1.000 | 0.252  | 0.000      | 6643.000   | 175780.000   | 5859.333   |
| 1387  | 0   | 1301 | 0   | 86  | 0   | POST   | /api/condition/f99dcefb-5286-4658-841e-0f23f112fa24 | 0.000 | 0.196 | 13.620  | 0.010 | 0.032 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1364  | 0   | 1275 | 0   | 89  | 0   | POST   | /api/condition/b2bee5ce-562b-4d5a-b636-7d468e76a96c | 0.000 | 0.144 | 13.436  | 0.010 | 0.020 | 0.100 | 0.104 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1381  | 0   | 1286 | 0   | 95  | 0   | POST   | /api/condition/06f6bbbb-93f1-40a8-9688-0ff6b51ff10e | 0.000 | 0.104 | 13.340  | 0.010 | 0.028 | 0.100 | 0.104 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1371  | 0   | 1279 | 0   | 92  | 0   | POST   | /api/condition/3886a1fc-1865-477b-8598-719176724a8f | 0.004 | 0.144 | 13.076  | 0.010 | 0.016 | 0.100 | 0.104 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
