+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 325   | 0   | 118  | 0   | 207 | 0   | GET    | /api/isu                                            | 0.044 | 3.000 | 229.288 | 0.706 | 1.000 | 1.000 | 1.004 | 0.415  | 0.000      | 4672.000   | 288856.000   | 888.788    |
| 46    | 0   | 9    | 0   | 37  | 0   | GET    | /api/trend                                          | 0.020 | 1.012 | 38.420  | 0.835 | 1.000 | 1.004 | 1.012 | 0.337  | 0.000      | 4570.000   | 40980.000    | 890.870    |
| 1394  | 0   | 1305 | 0   | 89  | 0   | POST   | /api/condition/1a7bcede-3f8b-4fad-a9fd-f77a0c2a8aec | 0.004 | 0.104 | 14.192  | 0.010 | 0.016 | 0.100 | 0.104 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1368  | 0   | 1280 | 0   | 88  | 0   | POST   | /api/condition/896a93d4-e6aa-4b2a-b667-a76e09fa6b0c | 0.004 | 0.104 | 14.188  | 0.010 | 0.040 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1389  | 0   | 1304 | 0   | 85  | 0   | POST   | /api/condition/281d1816-1fd7-48ea-98b1-196de000d5aa | 0.000 | 0.112 | 13.924  | 0.010 | 0.032 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1391  | 0   | 1300 | 0   | 91  | 0   | POST   | /api/condition/d390f130-f843-43ab-929b-a144eb410391 | 0.016 | 0.240 | 13.848  | 0.010 | 0.020 | 0.100 | 0.104 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1393  | 0   | 1301 | 0   | 92  | 0   | POST   | /api/condition/5a426d26-4aea-4901-b487-becb06eb21fe | 0.004 | 0.104 | 13.716  | 0.010 | 0.024 | 0.100 | 0.104 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1390  | 0   | 1299 | 0   | 91  | 0   | POST   | /api/condition/773c1bb0-31ba-4029-a028-5de7695c486b | 0.004 | 0.104 | 13.660  | 0.010 | 0.028 | 0.100 | 0.104 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1395  | 0   | 1314 | 0   | 81  | 0   | POST   | /api/condition/066e969b-a666-49ce-9117-b11d978c84be | 0.004 | 0.104 | 13.648  | 0.010 | 0.020 | 0.100 | 0.104 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1408  | 0   | 1329 | 0   | 79  | 0   | POST   | /api/condition/c0d0a7c0-d63e-45cb-9cca-9b1ac229e443 | 0.000 | 0.104 | 13.532  | 0.010 | 0.012 | 0.100 | 0.104 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1398  | 0   | 1318 | 0   | 80  | 0   | POST   | /api/condition/9ab8c44d-22af-4783-9617-2062190f8df1 | 0.004 | 0.104 | 13.400  | 0.010 | 0.028 | 0.100 | 0.104 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1398  | 0   | 1317 | 0   | 81  | 0   | POST   | /api/condition/d2b2338f-c442-436c-a3c7-ecee4a8e6439 | 0.004 | 0.244 | 13.284  | 0.010 | 0.012 | 0.100 | 0.104 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 215   | 0   | 77   | 0   | 138 | 0   | POST   | /api/auth                                           | 0.008 | 3.000 | 13.268  | 0.062 | 0.088 | 0.232 | 1.000 | 0.250  | 0.000      | 19.000     | 1564.000     | 7.274      |
| 1379  | 0   | 1283 | 0   | 96  | 0   | POST   | /api/condition/53eb4ca7-aada-4f31-81e0-16106592f774 | 0.096 | 0.104 | 13.268  | 0.010 | 0.036 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1384  | 0   | 1303 | 0   | 81  | 0   | POST   | /api/condition/a61f8df5-c0bf-475a-9fbe-43b04cb587bb | 0.004 | 0.116 | 13.008  | 0.009 | 0.016 | 0.100 | 0.104 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1384  | 0   | 1293 | 0   | 91  | 0   | POST   | /api/condition/51cb01ac-9202-42c7-8e0f-86a6f7108331 | 0.000 | 0.100 | 12.964  | 0.009 | 0.040 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1402  | 0   | 1321 | 0   | 81  | 0   | POST   | /api/condition/d7777876-03e4-4954-8fad-385f048c4efc | 0.000 | 0.108 | 12.872  | 0.009 | 0.016 | 0.100 | 0.104 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1391  | 0   | 1311 | 0   | 80  | 0   | POST   | /api/condition/73101861-a0d7-4c0e-89c9-bfc146d0c8ca | 0.000 | 0.108 | 12.836  | 0.009 | 0.040 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1390  | 0   | 1301 | 0   | 89  | 0   | POST   | /api/condition/0e32c2c6-dfa6-4769-ad7e-c73c07ac391d | 0.044 | 0.104 | 12.820  | 0.009 | 0.012 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1392  | 0   | 1304 | 0   | 88  | 0   | POST   | /api/condition/e2928990-3baf-461d-b6d9-de78e99bfcdf | 0.004 | 0.104 | 12.796  | 0.009 | 0.032 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1383  | 0   | 1291 | 0   | 92  | 0   | POST   | /api/condition/5d064f0b-5ade-40aa-ba7d-5ad0fa4af873 | 0.084 | 0.104 | 12.780  | 0.009 | 0.032 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1397  | 0   | 1319 | 0   | 78  | 0   | POST   | /api/condition/d8df4538-d25c-4c64-9df8-7cdda50e96bc | 0.000 | 0.104 | 12.716  | 0.009 | 0.008 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1389  | 0   | 1301 | 0   | 88  | 0   | POST   | /api/condition/8e8b2f15-24c1-4745-b3b2-db3508271c1a | 0.000 | 0.104 | 12.572  | 0.009 | 0.020 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1387  | 0   | 1307 | 0   | 80  | 0   | POST   | /api/condition/5688958e-104c-4405-9499-06d939329bbc | 0.004 | 0.108 | 12.464  | 0.009 | 0.008 | 0.100 | 0.104 | 0.025  | 0.000      | 14.000     | 14.000       | 0.010      |
| 1405  | 0   | 1334 | 0   | 71  | 0   | POST   | /api/condition/2639c108-05d8-49b3-8ac9-3da2f8362594 | 0.004 | 0.108 | 12.460  | 0.009 | 0.012 | 0.096 | 0.104 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1369  | 0   | 1274 | 0   | 95  | 0   | POST   | /api/condition/9d81d012-4295-4d25-8a4f-aed5520364f9 | 0.024 | 0.104 | 12.432  | 0.009 | 0.028 | 0.100 | 0.100 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1386  | 0   | 1304 | 0   | 82  | 0   | POST   | /api/condition/5769eea3-bc0f-4434-80dc-8a9a25b59780 | 0.000 | 0.104 | 12.404  | 0.009 | 0.012 | 0.100 | 0.104 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1371  | 0   | 1279 | 0   | 92  | 0   | POST   | /api/condition/124a5c23-3351-433e-8ecf-a5c781b88d28 | 0.000 | 0.112 | 12.384  | 0.009 | 0.024 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1389  | 0   | 1310 | 0   | 79  | 0   | POST   | /api/condition/044f3862-7f28-423c-8f9c-9e210d498d6f | 0.000 | 0.108 | 12.248  | 0.009 | 0.028 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1406  | 0   | 1330 | 0   | 76  | 0   | POST   | /api/condition/d2753a1c-ef2e-4bfc-bb90-4176ad2dfe29 | 0.000 | 0.144 | 12.192  | 0.009 | 0.012 | 0.100 | 0.104 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1399  | 0   | 1307 | 0   | 92  | 0   | POST   | /api/condition/c7e9932f-5603-4acd-95ab-44cf9dea93b1 | 0.000 | 0.112 | 12.172  | 0.009 | 0.028 | 0.100 | 0.100 | 0.026  | 0.000      | 14.000     | 14.000       | 0.010      |
| 1395  | 0   | 1314 | 0   | 81  | 0   | POST   | /api/condition/b7d7ff49-0c15-4a0e-82ca-86b2967bb46e | 0.000 | 0.136 | 12.160  | 0.009 | 0.020 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1385  | 0   | 1292 | 0   | 93  | 0   | POST   | /api/condition/7ff52470-9413-4b1f-94f8-7a3f2342c52b | 0.048 | 0.140 | 11.920  | 0.009 | 0.016 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1400  | 0   | 1321 | 0   | 79  | 0   | POST   | /api/condition/d8a8d771-f7aa-460e-ac64-e8dad9fbe822 | 0.000 | 0.108 | 11.904  | 0.009 | 0.012 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1401  | 0   | 1324 | 0   | 77  | 0   | POST   | /api/condition/4778474c-103c-4db5-884e-e2a2f2d35f4d | 0.044 | 0.104 | 11.900  | 0.008 | 0.008 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1386  | 0   | 1300 | 0   | 86  | 0   | POST   | /api/condition/99ffdaa0-f81a-430b-88f2-2afe84082498 | 0.000 | 0.188 | 11.784  | 0.009 | 0.020 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1400  | 0   | 1325 | 0   | 75  | 0   | POST   | /api/condition/1ba60fdb-4d6b-49a8-8b97-83add76da827 | 0.028 | 0.120 | 11.784  | 0.008 | 0.012 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1389  | 0   | 1305 | 0   | 84  | 0   | POST   | /api/condition/484a08ab-a941-44c4-8fc5-dd10e0ef64de | 0.000 | 0.104 | 11.740  | 0.008 | 0.024 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 30    | 0   | 30   | 0   | 0   | 0   | GET    | /api/condition/044f3862-7f28-423c-8f9c-9e210d498d6f | 0.168 | 0.828 | 11.724  | 0.391 | 0.556 | 0.688 | 0.828 | 0.169  | 4138.000   | 6243.000   | 183540.000   | 6118.000   |
| 1395  | 0   | 1319 | 0   | 76  | 0   | POST   | /api/condition/4f761ff6-bbfe-4df5-84cf-f8a37b3ad724 | 0.000 | 0.104 | 11.596  | 0.008 | 0.020 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1397  | 0   | 1313 | 0   | 84  | 0   | POST   | /api/condition/35f73076-4a31-45db-b44d-3d143f4e7cc5 | 0.004 | 0.104 | 11.524  | 0.008 | 0.012 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1386  | 0   | 1304 | 0   | 82  | 0   | POST   | /api/condition/3534ee76-952b-432a-8c26-8e2c3730bb83 | 0.000 | 0.248 | 11.512  | 0.008 | 0.016 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1411  | 0   | 1327 | 0   | 84  | 0   | POST   | /api/condition/68e9cd8c-ea3b-47bf-b04c-74f483a2d149 | 0.000 | 0.220 | 11.448  | 0.008 | 0.016 | 0.100 | 0.100 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1386  | 0   | 1309 | 0   | 77  | 0   | POST   | /api/condition/5f6afd10-e04e-455e-9118-fe4a37b9efad | 0.072 | 0.108 | 11.424  | 0.008 | 0.016 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 26    | 0   | 25   | 0   | 1   | 0   | GET    | /api/condition/b7d7ff49-0c15-4a0e-82ca-86b2967bb46e | 0.112 | 1.000 | 11.124  | 0.428 | 0.744 | 0.812 | 1.000 | 0.193  | 0.000      | 6703.000   | 165955.000   | 6382.885   |
| 28    | 0   | 27   | 0   | 1   | 0   | GET    | /api/condition/8e8b2f15-24c1-4745-b3b2-db3508271c1a | 0.056 | 1.000 | 10.944  | 0.391 | 0.700 | 0.992 | 1.000 | 0.226  | 0.000      | 6320.000   | 167272.000   | 5974.000   |
| 1398  | 0   | 1322 | 0   | 76  | 0   | POST   | /api/condition/7f8acfe4-e06c-418b-b160-6aada929013d | 0.000 | 0.104 | 10.944  | 0.008 | 0.020 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1404  | 0   | 1330 | 0   | 74  | 0   | POST   | /api/condition/48b52e25-7227-4be9-8f75-e410f4b25fd7 | 0.000 | 0.108 | 10.860  | 0.008 | 0.012 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1401  | 0   | 1326 | 0   | 75  | 0   | POST   | /api/condition/7f9f2387-1c3c-4b70-817f-98366b509981 | 0.000 | 0.100 | 10.704  | 0.008 | 0.012 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1395  | 0   | 1314 | 0   | 81  | 0   | POST   | /api/condition/9895aa45-3d41-46ef-bd55-daeafaeafea6 | 0.024 | 0.100 | 10.680  | 0.008 | 0.008 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1388  | 0   | 1311 | 0   | 77  | 0   | POST   | /api/condition/efb5f30e-f23b-466f-9569-b54fa21b6890 | 0.000 | 0.104 | 10.524  | 0.008 | 0.008 | 0.100 | 0.100 | 0.025  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1405  | 0   | 1333 | 0   | 72  | 0   | POST   | /api/condition/4cd5ccaa-c00e-4fea-927e-80d664e5b3bd | 0.040 | 0.100 | 10.504  | 0.007 | 0.012 | 0.096 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1408  | 0   | 1335 | 0   | 73  | 0   | POST   | /api/condition/7dfaf954-85bc-4043-8a61-5786be213398 | 0.000 | 0.104 | 10.488  | 0.007 | 0.008 | 0.100 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1404  | 0   | 1334 | 0   | 70  | 0   | POST   | /api/condition/a2ac998b-3090-4957-8dc8-b394bf0b0266 | 0.044 | 0.108 | 10.360  | 0.007 | 0.004 | 0.096 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1407  | 0   | 1338 | 0   | 69  | 0   | POST   | /api/condition/d8ef5b40-1130-47aa-a8ac-3ec0133850d6 | 0.000 | 0.104 | 10.280  | 0.007 | 0.008 | 0.096 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 32    | 0   | 26   | 0   | 6   | 0   | GET    | /api/condition/7ff52470-9413-4b1f-94f8-7a3f2342c52b | 0.004 | 0.892 | 10.112  | 0.316 | 0.644 | 0.748 | 0.892 | 0.216  | 14.000     | 6283.000   | 157607.000   | 4925.219   |
| 1410  | 0   | 1347 | 0   | 63  | 0   | POST   | /api/condition/5413c167-539a-4be5-a6d5-86849a3a5680 | 0.000 | 0.100 | 9.896   | 0.007 | 0.008 | 0.080 | 0.100 | 0.023  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1412  | 0   | 1341 | 0   | 71  | 0   | POST   | /api/condition/87e21d60-0e39-4df7-9e15-ff5e2264827a | 0.000 | 0.104 | 9.840   | 0.007 | 0.004 | 0.100 | 0.100 | 0.023  | 0.000      | 0.000      | 0.000        | 0.000      |
| 22    | 0   | 21   | 0   | 1   | 0   | GET    | /api/condition/5413c167-539a-4be5-a6d5-86849a3a5680 | 0.168 | 1.000 | 7.808   | 0.355 | 0.584 | 0.720 | 1.000 | 0.188  | 0.000      | 6463.000   | 133810.000   | 6082.273   |
| 15    | 0   | 14   | 0   | 1   | 0   | GET    | /api/condition/d8df4538-d25c-4c64-9df8-7cdda50e96bc | 0.132 | 1.000 | 6.244   | 0.416 | 0.824 | 1.000 | 1.000 | 0.249  | 3.000      | 6223.000   | 80902.000    | 5393.467   |
| 20    | 0   | 20   | 0   | 0   | 0   | GET    | /api/condition/53eb4ca7-aada-4f31-81e0-16106592f774 | 0.116 | 0.792 | 6.088   | 0.304 | 0.448 | 0.676 | 0.792 | 0.175  | 3.000      | 6704.000   | 117984.000   | 5899.200   |
| 16    | 0   | 16   | 0   | 0   | 0   | GET    | /api/condition/066e969b-a666-49ce-9117-b11d978c84be | 0.116 | 0.976 | 5.996   | 0.375 | 0.948 | 0.976 | 0.976 | 0.287  | 3123.000   | 6343.000   | 96697.000    | 6043.562   |
| 16    | 0   | 16   | 0   | 0   | 0   | GET    | /api/condition/73101861-a0d7-4c0e-89c9-bfc146d0c8ca | 0.096 | 0.756 | 5.652   | 0.353 | 0.564 | 0.756 | 0.756 | 0.165  | 3110.000   | 6643.000   | 96934.000    | 6058.375   |
| 13    | 0   | 11   | 0   | 2   | 0   | GET    | /api/condition/d2b2338f-c442-436c-a3c7-ecee4a8e6439 | 0.104 | 1.000 | 5.572   | 0.429 | 1.000 | 1.000 | 1.000 | 0.262  | 2983.000   | 6523.000   | 66953.000    | 5150.231   |
| 13    | 0   | 12   | 0   | 1   | 0   | GET    | /api/condition/35f73076-4a31-45db-b44d-3d143f4e7cc5 | 0.104 | 1.000 | 4.396   | 0.338 | 0.428 | 1.000 | 1.000 | 0.218  | 3.000      | 6463.000   | 67546.000    | 5195.846   |
| 24    | 0   | 23   | 0   | 1   | 0   | GET    | /api/isu/7ff52470-9413-4b1f-94f8-7a3f2342c52b/icon  | 0.008 | 1.004 | 4.368   | 0.182 | 0.544 | 0.812 | 1.004 | 0.254  | 0.000      | 45199.000  | 1039577.000  | 43315.708  |
| 16    | 0   | 11   | 0   | 5   | 0   | GET    | /api/isu/35f73076-4a31-45db-b44d-3d143f4e7cc5/graph | 0.064 | 1.000 | 4.368   | 0.273 | 0.424 | 1.000 | 1.000 | 0.223  | 2691.000   | 6544.000   | 52875.000    | 3304.688   |
| 10    | 0   | 9    | 0   | 1   | 0   | GET    | /api/condition/51cb01ac-9202-42c7-8e0f-86a6f7108331 | 0.196 | 1.000 | 4.180   | 0.418 | 0.564 | 1.000 | 1.000 | 0.234  | 0.000      | 6343.000   | 57087.000    | 5708.700   |
| 25    | 0   | 24   | 0   | 1   | 0   | GET    | /api/isu/4f761ff6-bbfe-4df5-84cf-f8a37b3ad724/icon  | 0.004 | 1.004 | 4.004   | 0.160 | 0.328 | 0.416 | 1.004 | 0.209  | 0.000      | 17244.000  | 413856.000   | 16554.240  |
