+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| 70688 | 0   | 66096 | 0   | 4592 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.068 | 0.132 | 636.136 | 0.009 | 0.012 | 0.100 | 0.100 | 0.026  | 0.000     | 14.000     | 56.000       | 0.001      |
| 370   | 0   | 122   | 0   | 248  | 0   | GET    | /api/isu                                            | 0.136 | 3.000 | 279.652 | 0.756 | 1.000 | 1.004 | 1.008 | 0.391  | 0.000     | 4675.000   | 320418.000   | 865.995    |
| 839   | 0   | 769   | 0   | 70   | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 3.000 | 3.000 | 158.820 | 0.189 | 0.560 | 0.980 | 1.000 | 0.287  | 0.000     | 135259.000 | 20747872.000 | 24729.287  |
| 280   | 0   | 200   | 0   | 80   | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 1.004 | 1.004 | 67.300  | 0.240 | 0.668 | 1.000 | 1.000 | 0.270  | 0.000     | 6814.000   | 897274.000   | 3204.550   |
| 45    | 0   | 9     | 0   | 36   | 0   | GET    | /api/trend                                          | 0.024 | 1.008 | 37.600  | 0.836 | 1.004 | 1.004 | 1.008 | 0.333  | 0.000     | 4795.000   | 41228.000    | 916.178    |
| 128   | 0   | 71    | 0   | 57   | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 1.000 | 3.000 | 24.344  | 0.190 | 0.476 | 1.000 | 1.004 | 0.352  | 0.000     | 6875.000   | 304329.000   | 2377.570   |
| 176   | 0   | 139   | 0   | 37   | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 3.000 | 3.000 | 22.612  | 0.128 | 0.328 | 0.872 | 1.260 | 0.310  | 0.000     | 157.000    | 19515.000    | 110.881    |
| 159   | 0   | 61    | 0   | 98   | 0   | POST   | /api/auth                                           | 0.004 | 2.608 | 9.436   | 0.059 | 0.084 | 0.324 | 1.000 | 0.239  | 0.000     | 19.000     | 1104.000     | 6.943      |
| 55    | 0   | 51    | 0   | 4    | 0   | POST   | /api/isu                                            | 0.004 | 0.152 | 4.040   | 0.073 | 0.104 | 0.136 | 0.152 | 0.028  | 15.000    | 157.000    | 7065.000     | 128.455    |
| 52    | 0   | 25    | 0   | 27   | 0   | GET    | /api/user/me                                        | 0.000 | 0.992 | 1.540   | 0.030 | 0.032 | 0.088 | 0.992 | 0.137  | 21.000    | 43.000     | 1511.000     | 29.058     |
| 31    | 0   | 17    | 0   | 14   | 0   | POST   | /api/signout                                        | 0.004 | 0.308 | 0.868   | 0.028 | 0.072 | 0.128 | 0.308 | 0.061  | 21.000    | 21.000     | 294.000      | 9.484      |
| 1     | 0   | 1     | 0   | 0    | 0   | POST   | /initialize                                         | 0.312 | 0.312 | 0.312   | 0.312 | 0.312 | 0.312 | 0.312 | 0.000  | 23.000    | 23.000     | 23.000       | 23.000     |
| 94    | 0   | 48    | 46  | 0    | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.012 | 0.196   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 0.000     | 743417.000 | 35684016.000 | 379617.191 |
| 94    | 0   | 48    | 46  | 0    | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.008 | 0.160   | 0.002 | 0.004 | 0.008 | 0.008 | 0.003  | 0.000     | 592.000    | 28416.000    | 302.298    |
