+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| 567   | 0   | 327   | 0   | 240 | 0   | GET    | /api/isu                                            | 0.068 | 1.004 | 234.576 | 0.414 | 1.000 | 1.000 | 1.004 | 0.419  | 0.000     | 4567.000   | 713763.000   | 1258.841   |
| 75745 | 0   | 75446 | 0   | 299 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.104 | 189.120 | 0.002 | 0.004 | 0.008 | 0.052 | 0.010  | 0.000     | 14.000     | 84.000       | 0.001      |
| 1647  | 0   | 1065  | 0   | 582 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.292 | 0.548 | 129.408 | 0.079 | 0.188 | 0.224 | 0.300 | 0.082  | 0.000     | 6833.000   | 5824492.000  | 3536.425   |
| 80    | 0   | 17    | 0   | 63  | 0   | GET    | /api/trend                                          | 0.020 | 1.004 | 69.288  | 0.866 | 1.000 | 1.000 | 1.004 | 0.306  | 0.000     | 7320.000   | 93624.000    | 1170.300   |
| 2019  | 0   | 1770  | 0   | 249 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.000 | 0.436 | 45.868  | 0.023 | 0.060 | 0.084 | 0.140 | 0.032  | 14.000    | 135259.000 | 47107520.000 | 23332.105  |
| 705   | 0   | 290   | 0   | 415 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.000 | 0.308 | 31.748  | 0.045 | 0.148 | 0.180 | 0.240 | 0.063  | 14.000    | 7740.000   | 1343013.000  | 1904.983   |
| 541   | 0   | 289   | 0   | 252 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.764 | 1.060 | 9.240   | 0.017 | 0.040 | 0.064 | 0.148 | 0.061  | 0.000     | 148.000    | 43150.000    | 79.760     |
| 979   | 0   | 307   | 0   | 672 | 0   | POST   | /api/auth                                           | 0.004 | 0.212 | 5.092   | 0.005 | 0.008 | 0.020 | 0.084 | 0.015  | 0.000     | 19.000     | 7728.000     | 7.894      |
| 55    | 0   | 51    | 0   | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.108 | 3.136   | 0.057 | 0.068 | 0.072 | 0.108 | 0.017  | 15.000    | 148.000    | 6972.000     | 126.764    |
| 184   | 0   | 55    | 0   | 129 | 0   | GET    | /api/user/me                                        | 0.000 | 0.040 | 0.504   | 0.003 | 0.008 | 0.016 | 0.036 | 0.006  | 21.000    | 44.000     | 4799.000     | 26.082     |
| 133   | 0   | 47    | 0   | 86  | 0   | POST   | /api/signout                                        | 0.000 | 0.068 | 0.464   | 0.003 | 0.008 | 0.020 | 0.036 | 0.009  | 21.000    | 21.000     | 1806.000     | 13.579     |
| 201   | 0   | 83    | 118 | 0   | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.008 | 0.248   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 743417.000 | 61703611.000 | 306983.139 |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /initialize                                         | 0.188 | 0.188 | 0.188   | 0.188 | 0.188 | 0.188 | 0.188 | 0.000  | 23.000    | 23.000     | 23.000       | 23.000     |
| 201   | 0   | 80    | 121 | 0   | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.004 | 0.132   | 0.001 | 0.004 | 0.004 | 0.004 | 0.001  | 0.000     | 26667.000  | 2133360.000  | 10613.731  |
| 224   | 0   | 135   | 89  | 0   | 0   | GET    | /                                                   | 0.000 | 0.004 | 0.128   | 0.001 | 0.004 | 0.004 | 0.004 | 0.001  | 0.000     | 528.000    | 71280.000    | 318.214    |
| 201   | 0   | 79    | 122 | 0   | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.004 | 0.104   | 0.001 | 0.004 | 0.004 | 0.004 | 0.001  | 0.000     | 19066.000  | 1506214.000  | 7493.602   |
| 201   | 0   | 80    | 121 | 0   | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.004 | 0.100   | 0.000 | 0.004 | 0.004 | 0.004 | 0.001  | 0.000     | 592.000    | 47360.000    | 235.622    |
| 201   | 0   | 80    | 121 | 0   | 0   | GET    | /assets/logo_white.svg                              | 0.000 | 0.004 | 0.092   | 0.000 | 0.004 | 0.004 | 0.004 | 0.001  | 0.000     | 3285.000   | 262800.000   | 1307.463   |
| 82    | 0   | 79    | 3   | 0   | 0   | GET    | /assets/logo_orange.svg                             | 0.000 | 0.004 | 0.064   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 3288.000  | 3288.000   | 259752.000   | 3167.707   |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 2     | 1   | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 1056.000     | 352.000    |
