+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| 74761 | 0   | 73672 | 0   | 1089 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.104 | 302.660 | 0.004 | 0.004 | 0.028 | 0.100 | 0.016  | 0.000     | 14.000     | 84.000       | 0.001      |
| 474   | 0   | 248   | 0   | 226  | 0   | GET    | /api/isu                                            | 0.088 | 1.232 | 235.252 | 0.496 | 1.000 | 1.000 | 1.004 | 0.432  | 0.000     | 10000.000  | 593384.000   | 1251.865   |
| 1260  | 0   | 903   | 0   | 357  | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.032 | 0.676 | 133.968 | 0.106 | 0.256 | 0.304 | 0.436 | 0.105  | 3.000     | 7183.000   | 4929081.000  | 3911.969   |
| 79    | 0   | 22    | 0   | 57   | 0   | GET    | /api/trend                                          | 0.028 | 1.004 | 66.784  | 0.845 | 1.000 | 1.000 | 1.004 | 0.312  | 0.000     | 8192.000   | 136687.000   | 1730.215   |
| 1607  | 0   | 1454  | 0   | 153  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.104 | 1.000 | 62.956  | 0.039 | 0.108 | 0.156 | 0.280 | 0.062  | 0.000     | 135259.000 | 38240088.000 | 23795.948  |
| 469   | 0   | 214   | 0   | 255  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.000 | 1.152 | 28.684  | 0.061 | 0.164 | 0.204 | 0.368 | 0.093  | 14.000    | 7075.000   | 1011597.000  | 2156.923   |
| 399   | 0   | 243   | 0   | 156  | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.612 | 0.780 | 11.100  | 0.028 | 0.072 | 0.116 | 0.232 | 0.066  | 0.000     | 154.000    | 36288.000    | 90.947     |
| 622   | 0   | 206   | 0   | 416  | 0   | POST   | /api/auth                                           | 0.028 | 0.944 | 6.480   | 0.010 | 0.016 | 0.040 | 0.136 | 0.052  | 0.000     | 19.000     | 4784.000     | 7.691      |
| 55    | 0   | 51    | 0   | 4    | 0   | POST   | /api/isu                                            | 0.004 | 0.104 | 3.168   | 0.058 | 0.068 | 0.076 | 0.104 | 0.018  | 15.000    | 154.000    | 7137.000     | 129.764    |
| 142   | 0   | 50    | 0   | 92   | 0   | GET    | /api/user/me                                        | 0.000 | 0.104 | 0.792   | 0.006 | 0.012 | 0.036 | 0.080 | 0.015  | 21.000    | 45.000     | 3800.000     | 26.761     |
| 96    | 0   | 42    | 0   | 54   | 0   | POST   | /api/signout                                        | 0.000 | 0.052 | 0.476   | 0.005 | 0.016 | 0.032 | 0.052 | 0.010  | 21.000    | 21.000     | 1134.000     | 11.812     |
| 188   | 0   | 76    | 112 | 0    | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.012 | 0.284   | 0.002 | 0.004 | 0.004 | 0.012 | 0.002  | 0.000     | 743417.000 | 56499692.000 | 300530.277 |
| 1     | 0   | 1     | 0   | 0    | 0   | POST   | /initialize                                         | 0.232 | 0.232 | 0.232   | 0.232 | 0.232 | 0.232 | 0.232 | 0.000  | 23.000    | 23.000     | 23.000       | 23.000     |
| 188   | 0   | 76    | 112 | 0    | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.004 | 0.124   | 0.001 | 0.004 | 0.004 | 0.004 | 0.001  | 0.000     | 26667.000  | 2026692.000  | 10780.277  |
