+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 74553 | 0   | 73306 | 0   | 1247 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.124 | 326.180 | 0.004 | 0.004 | 0.024 | 0.100 | 0.016  | 0.000      | 14.000     | 84.000       | 0.001      |
| 479   | 0   | 247   | 0   | 232  | 0   | GET    | /api/isu                                            | 0.084 | 1.004 | 237.372 | 0.496 | 1.000 | 1.000 | 1.004 | 0.436  | 0.000      | 10000.000  | 564910.000   | 1179.353   |
| 1181  | 0   | 812   | 0   | 369  | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.064 | 1.000 | 128.884 | 0.109 | 0.244 | 0.312 | 0.576 | 0.120  | 0.000      | 6981.000   | 4373258.000  | 3703.013   |
| 81    | 0   | 20    | 0   | 61   | 0   | GET    | /api/trend                                          | 0.020 | 1.004 | 68.236  | 0.842 | 1.000 | 1.000 | 1.004 | 0.304  | 0.000      | 8105.000   | 119681.000   | 1477.543   |
| 1569  | 0   | 1410  | 0   | 159  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.804 | 1.000 | 60.424  | 0.039 | 0.100 | 0.148 | 0.252 | 0.061  | 0.000      | 135259.000 | 34688392.000 | 22108.599  |
| 488   | 0   | 225   | 0   | 263  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.136 | 1.004 | 32.096  | 0.066 | 0.192 | 0.220 | 0.328 | 0.099  | 0.000      | 7091.000   | 1049221.000  | 2150.043   |
| 396   | 0   | 237   | 0   | 159  | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.392 | 1.740 | 11.208  | 0.028 | 0.068 | 0.096 | 0.228 | 0.096  | 14.000     | 148.000    | 35031.000    | 88.462     |
| 635   | 0   | 211   | 0   | 424  | 0   | POST   | /api/auth                                           | 0.004 | 0.580 | 5.748   | 0.009 | 0.020 | 0.048 | 0.120 | 0.031  | 0.000      | 19.000     | 4876.000     | 7.679      |
| 55    | 0   | 51    | 0   | 4    | 0   | POST   | /api/isu                                            | 0.004 | 0.108 | 3.240   | 0.059 | 0.068 | 0.080 | 0.108 | 0.018  | 15.000     | 148.000    | 7048.000     | 128.145    |
