+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| 496   | 0   | 225   | 0   | 271 | 0   | GET    | /api/trend                                          | 0.024 | 1.004 | 398.888 | 0.804 | 1.000 | 1.000 | 1.004 | 0.290  | 0.000     | 8196.000   | 1771666.000   | 3571.907   |
| 76001 | 0   | 75936 | 0   | 65  | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.108 | 298.792 | 0.004 | 0.008 | 0.028 | 0.056 | 0.011  | 0.000     | 14.000     | 28.000        | 0.000      |
| 15918 | 0   | 15679 | 0   | 239 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 0.228 | 255.692 | 0.016 | 0.036 | 0.048 | 0.076 | 0.017  | 0.000     | 135259.000 | 392825347.000 | 24678.059  |
| 5682  | 0   | 5138  | 0   | 544 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.364 | 167.824 | 0.030 | 0.064 | 0.080 | 0.124 | 0.027  | 0.000     | 7016.000   | 27624352.000  | 4861.730   |
| 2212  | 0   | 2135  | 0   | 77  | 0   | GET    | /api/isu                                            | 0.012 | 0.184 | 65.948  | 0.030 | 0.056 | 0.064 | 0.100 | 0.021  | 3.000     | 4613.000   | 6787916.000   | 3068.678   |
| 1663  | 0   | 1277  | 0   | 386 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 0.152 | 40.812  | 0.025 | 0.052 | 0.064 | 0.088 | 0.021  | 0.000     | 8121.000   | 6194959.000   | 3725.171   |
| 2320  | 0   | 2089  | 0   | 231 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.000 | 0.128 | 30.460  | 0.013 | 0.032 | 0.040 | 0.064 | 0.014  | 14.000    | 151.000    | 291964.000    | 125.847    |
| 1252  | 0   | 636   | 0   | 616 | 0   | POST   | /api/auth                                           | 0.004 | 0.076 | 8.664   | 0.007 | 0.016 | 0.024 | 0.044 | 0.009  | 0.000     | 19.000     | 7084.000      | 5.658      |
| 877   | 0   | 405   | 0   | 472 | 0   | GET    | /api/user/me                                        | 0.004 | 0.140 | 4.152   | 0.005 | 0.012 | 0.020 | 0.040 | 0.009  | 21.000    | 41.000     | 25200.000     | 28.734     |
| 55    | 0   | 51    | 0   | 4   | 0   | POST   | /api/isu                                            | 0.052 | 0.108 | 3.180   | 0.058 | 0.072 | 0.084 | 0.108 | 0.019  | 15.000    | 151.000    | 7101.000      | 129.109    |
