+--------+-----+--------+------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+-----------+
| 195495 | 0   | 190931 | 0    | 4564 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.008 | 0.148 | 1426.004 | 0.007 | 0.016 | 0.044 | 0.100 | 0.019  | 0.000      | 14.000     | 168.000       | 0.001     |
| 9822   | 0   | 9713   | 0    | 109  | 0   | GET    | /api/trend                                          | 0.004 | 1.056 | 979.172  | 0.100 | 0.252 | 0.400 | 1.000 | 0.164  | 0.000      | 18679.000  | 115132937.000 | 11721.944 |
| 10335  | 0   | 10136  | 0    | 199  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 1.004 | 721.512  | 0.070 | 0.196 | 0.368 | 0.928 | 0.154  | 0.000      | 135259.000 | 265448672.000 | 25684.439 |
| 3977   | 0   | 3635   | 0    | 342  | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.008 | 1.252 | 559.720  | 0.141 | 0.432 | 0.696 | 1.000 | 0.227  | 0.000      | 7363.000   | 19026914.000  | 4784.238  |
| 1491   | 0   | 1301   | 0    | 190  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 1.004 | 161.480  | 0.108 | 0.304 | 0.524 | 1.000 | 0.189  | 0.000      | 7604.000   | 5907237.000   | 3961.930  |
| 1660   | 0   | 1605   | 0    | 55   | 0   | GET    | /api/isu                                            | 0.004 | 1.824 | 150.428  | 0.091 | 0.232 | 0.416 | 1.000 | 0.168  | 0.000      | 4783.000   | 4273112.000   | 2574.164  |
| 1723   | 0   | 1609   | 0    | 114  | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.004 | 1.012 | 128.844  | 0.075 | 0.216 | 0.376 | 0.884 | 0.155  | 0.000      | 160.000    | 224291.000    | 130.175   |
| 201    | 0   | 196    | 0    | 5    | 0   | POST   | /api/isu                                            | 0.004 | 1.004 | 28.308   | 0.141 | 0.304 | 0.464 | 0.636 | 0.141  | 131.000    | 160.000    | 27289.000     | 135.766   |
| 9892   | 0   | 438    | 9454 | 0    | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.004 | 0.068 | 27.608   | 0.003 | 0.004 | 0.008 | 0.024 | 0.005  | 743417.000 | 743417.000 | 325616646.000 | 32917.170 |
| 9892   | 0   | 437    | 9455 | 0    | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.064 | 24.884   | 0.003 | 0.004 | 0.008 | 0.020 | 0.004  | 0.000      | 592.000    | 258704.000    | 26.153    |
